ESTUDIANTE,PERIODO,PROMEDIO_GENERAL,PEOR_PROMEDIO,ASISTENCIA_PROMEDIO,MAX_INTENTOS,MATERIAS_REPROBADAS,TOTAL_MATERIAS,TASA_REPROBACION,PUNTOS_DESERTOR,CATEGORIA
Estudiante 429,2025 - 2026 CI,9.44,9.44,100.00,1,0,1,0.00,0,BAJO
Estudiante 430,2025 - 2026 CI,9.38,9.38,96.00,1,0,1,0.00,0,BAJO
Estudiante 431,2025 - 2026 CI,7.17,7.17,74.00,2,0,1,0.00,0,ALTO
Estudiante 432,2025 - 2026 CI,8.78,8.78,84.00,1,0,1,0.00,0,BAJO
Estudiante 433,2025 - 2026 CI,4.73,4.73,62.00,1,1,1,1.00,1,ALTO
Estudiante 434,2025 - 2026 CI,9.59,9.59,96.00,1,0,1,0.00,0,BAJO
Estudiante 435,2025 - 2026 CI,7.02,7.02,96.00,1,0,1,0.00,0,MEDIO
Estudiante 436,2025 - 2026 CI,7.39,7.39,79.00,2,0,1,0.00,0,ALTO
Estudiante 437,2025 - 2026 CI,7.23,7.23,84.00,1,0,1,0.00,0,MEDIO
Estudiante 438,2025 - 2026 CI,7.05,7.05,83.00,1,0,1,0.00,0,MEDIO
Estudiante 439,2025 - 2026 CI,7.44,7.44,96.00,1,0,1,0.00,0,MEDIO
Estudiante 440,2025 - 2026 CI,7.26,7.26,96.00,1,0,1,0.00,0,MEDIO
Estudiante 441,2025 - 2026 CI,0.00,0.00,0.00,1,1,1,1.00,3,DESERTOR
Estudiante 442,2025 - 2026 CI,9.58,9.58,96.00,1,0,1,0.00,0,BAJO
Estudiante 443,2025 - 2026 CI,9.08,9.08,100.00,1,0,1,0.00,0,BAJO
Estudiante 444,2023 - 2024 CII,1.73,0.00,47.57,1,7,7,1.00,2,DESERTOR
Estudiante 445,2023 - 2024 CII,1.02,0.00,10.67,1,6,6,1.00,3,DESERTOR
Estudiante 446,2023 - 2024 CII,0.00,0.00,8.00,1,6,6,1.00,3,DESERTOR
Estudiante 447,2023 - 2024 CII,1.87,0.00,12.57,1,7,7,1.00,3,DESERTOR
Estudiante 448,2023 - 2024 CII,3.28,0.00,40.43,1,7,7,1.00,2,DESERTOR
Estudiante 449,2023 - 2024 CII,0.45,0.00,0.00,1,7,7,1.00,3,DESERTOR
Estudiante 450,2023 - 2024 CII,0.24,0.00,0.00,1,7,7,1.00,3,DESERTOR
Estudiante 451,2023 - 2024 CII,3.25,0.00,62.00,1,6,6,1.00,2,DESERTOR
Estudiante 452,2023 - 2024 CII,1.90,0.00,12.57,1,7,7,1.00,3,DESERTOR
Estudiante 453,2023 - 2024 CII,6.75,4.01,96.17,1,3,6,0.50,0,MEDIO
Estudiante 454,2023 - 2024 CII,0.78,0.00,0.00,1,3,3,1.00,3,DESERTOR
Estudiante 455,2023 - 2024 CII,3.41,0.00,37.25,1,3,4,0.75,2,DESERTOR
Estudiante 456,2023 - 2024 CII,8.76,8.76,100.00,1,0,1,0.00,0,BAJO
Estudiante 457,2023 - 2024 CII,9.40,9.40,100.00,1,0,1,0.00,0,BAJO
Estudiante 458,2023 - 2024 CII,8.76,8.76,96.00,1,0,1,0.00,0,BAJO
Estudiante 459,2023 - 2024 CII,9.13,9.13,100.00,1,0,1,0.00,0,BAJO
Estudiante 460,2023 - 2024 CII,6.43,6.43,96.00,1,1,1,1.00,1,ALTO
Estudiante 461,2023 - 2024 CII,7.93,7.93,96.00,1,0,1,0.00,0,BAJO
Estudiante 462,2023 - 2024 CII,9.44,9.44,100.00,1,0,1,0.00,0,BAJO
Estudiante 463,2023 - 2024 CII,8.50,8.50,100.00,1,0,1,0.00,0,BAJO
Estudiante 464,2023 - 2024 CII,7.61,7.61,93.00,1,0,1,0.00,0,BAJO
Estudiante 465,2023 - 2024 CII,2.74,2.74,0.00,1,1,1,1.00,3,DESERTOR
Estudiante 466,2023 - 2024 CII,8.87,8.87,96.00,1,0,1,0.00,0,BAJO
Estudiante 467,2023 - 2024 CII,8.16,8.16,100.00,1,0,1,0.00,0,BAJO
Estudiante 468,2023 - 2024 CII,8.77,8.77,100.00,1,0,1,0.00,0,BAJO
Estudiante 469,2023 - 2024 CII,7.54,7.54,76.00,1,0,1,0.00,0,MEDIO
Estudiante 470,2023 - 2024 CII,7.64,7.64,94.00,1,0,1,0.00,0,BAJO
Estudiante 471,2023 - 2024 CII,6.33,6.33,94.00,1,1,1,1.00,1,ALTO
